item_key,catalog_type,catalog_name,match_status,match_score,asin,amazon_title,amazon_url,purchase_ppu,quantity_total,item_net_total,order_date,seller_name,brand,amazon_category
car_guys_plastic_restorer_bring_plastic_rubber_and_vinyl_back_to_life_user_friendly_trim_restorer_sa,consumable,"CAR Guys Plastic Restorer Bring Plastic, Rubber, and Vinyl Back to Life! User Friendly Trim Restorer Safe Auto Detailing Supplies 8 Oz Kit with Foam Applicator",strong,0.964,B071FRWWRF,"CAR Guys Plastic Restorer | Bring Plastic, Rubber, and Vinyl Back to Life! | User Friendly Trim Restorer | Safe Auto Detailing Supplies | 8 Oz Kit with Foam Applicator",https://www.amazon.ca/dp/B071FRWWRF,28.34,1.0,28.34,2024/06/04,CAR GUYS,CAR GUYS,Automotive Parts and Accessories
car_detail_brushes,consumable,Car Detail Brushes,review,0.611,B0932XP5Y8,"Car Detail Brush, Boars Hair Multi-Purpose Car Detailing Brushes - Set of 5, 5 Head Sizes with Natural Ultra Soft Boars Hair Detailing Brush for Washi",https://www.amazon.ca/dp/B0932XP5Y8,13.59,1.0,15.36,2023/10/06,Meegoo CA Direct,Meegoo,Automotive Parts and Accessories
car_pro_darkside,consumable,Car Pro Darkside,unmatched,0.382,B000ATVOH4,"KitchenArt 55210 Pro 2 Cup Adjust-A-Cup, Satin",https://www.amazon.ca/dp/B000ATVOH4,17.0,1.0,19.21,2022/12/08,Amazon,KitchenArt,Kitchen
car_pro_descale,consumable,Car Pro Descale,unmatched,0.417,B008B9LX0S,LePage Pro Carpenter's Glue 150 ml,https://www.amazon.ca/dp/B008B9LX0S,5.96,1.0,6.73,2023/04/13,Amazon.ca,LePage,Home Improvement
car_pro_dressing,consumable,Car Pro Dressing,unmatched,0.443,B098NJHVTD,6 Pieces Tire Hex Grip Dressing Applicator Washable Tire Shine Applicator Dressing Pad Car Detailing Foam Sponge Reusable Tire Cleaner Sponge for No Mess Tire Detailing Supplies (4.33 Inch Diameter),https://www.amazon.ca/dp/B098NJHVTD,28.7,1.0,32.44,2023/12/22,Geemic,BBTO,Automotive Parts and Accessories
car_pro_eraser,consumable,Car Pro Eraser,unmatched,0.418,B008B9LX0S,LePage Pro Carpenter's Glue 150 ml,https://www.amazon.ca/dp/B008B9LX0S,5.96,1.0,6.73,2023/04/13,Amazon.ca,LePage,Home Improvement
car_pro_iron_x,consumable,Car Pro Iron X,unmatched,0.404,B0737NG78V,Olympia Tools 25-Pound Cast Iron Anvil,https://www.amazon.ca/dp/B0737NG78V,81.56,1.0,92.16,2023/10/06,Amazon.ca,Olympia Tools,Home Improvement
car_pro_lift,consumable,Car Pro Lift,unmatched,0.462,B00HVWVPRC,"L'Oréal Paris Hydrating Face Cream for Men, Vita Lift Men Expert Skincare, With Pro-Retinol, Targets and Reduces look of Wrinkles and Skin Dullness,",https://www.amazon.ca/dp/B00HVWVPRC,11.97,1.0,13.53,2022/11/25,Amazon.ca,L'Oreal Paris Men Expert,Beauty
car_pro_multi_x,consumable,Car Pro Multi X,unmatched,0.472,B01GVSYO10,"Dräger X-plore 3500 Half-Face Respirator Mask + 2x P100/Multi-Gas Combination Cartridge (OV/AG/HF/FM/CD/AM/MA/HS/P100), NIOSH-Certified, Reusable Pro",https://www.amazon.ca/dp/B01GVSYO10,74.67,1.0,84.38,2023/01/16,Draeger Safety Canada Ltd.,Drxe4ger,Apparel
car_pro_reset,consumable,Car Pro Reset,unmatched,0.403,B008B9LX0S,LePage Pro Carpenter's Glue 150 ml,https://www.amazon.ca/dp/B008B9LX0S,5.96,1.0,6.73,2023/04/13,Amazon.ca,LePage,Home Improvement
car_pro_tar_x,consumable,Car Pro Tar X,unmatched,0.393,B008B9LX0S,LePage Pro Carpenter's Glue 150 ml,https://www.amazon.ca/dp/B008B9LX0S,5.96,1.0,6.73,2023/04/13,Amazon.ca,LePage,Home Improvement
chapin_200001_gallon_sprayer,consumable,Chapin 200001 Gallon Sprayer,review,0.616,B000E28UQU,Chapin 20000 1-Gallon Lawn and Garden Sprayer,https://www.amazon.ca/dp/B000E28UQU,29.99,6.0,203.34,2023/10/11,Amazon.ca,Chapin International,Lawn & Patio
chemical_guys_blue_clay_bar,consumable,Chemical Guys Blue Clay Bar,review,0.512,B001TJALQO,"Chemical Guys WAC_CLY_100_16 Clayblock and Clay Synthetic Lubricant and Detailer, 16 oz",https://www.amazon.ca/dp/B001TJALQO,21.25,1.0,33.05,2023/12/12,eShine Car Care,Chemical Guys,Automotive Parts and Accessories
chemical_guys_buckets,consumable,Chemical Guys Buckets,review,0.562,B09VWHFX1X,"Chemical Guys ACC10602 Heavy Duty Ultra Clear Detailing Bucket for Cars, Trucks, SUVs, Jeeps, Motorcycles, RVs & More, 4.25 Gallon, 2 Count (Pack of 1) (Buckets Only)",https://www.amazon.ca/dp/B09VWHFX1X,27.59,1.0,31.18,2023/11/22,Amazon,Chemical Guys,Automotive Parts and Accessories
chemical_guys_clay_luber,consumable,Chemical Guys Clay Luber,review,0.522,B001TJALQO,"Chemical Guys WAC_CLY_100_16 Clayblock and Clay Synthetic Lubricant and Detailer, 16 oz",https://www.amazon.ca/dp/B001TJALQO,21.25,1.0,33.05,2023/12/12,eShine Car Care,Chemical Guys,Automotive Parts and Accessories
chemical_guys_foaming_citrus,consumable,Chemical Guys Foaming Citrus,unmatched,0.463,B00435H0GA,Chemical Guys ACC_204 Curved Tire Brush,https://www.amazon.ca/dp/B00435H0GA,13.79,1.0,15.58,2023/10/06,Amazon.ca,Chemical Guys,Automotive Parts and Accessories
chemical_guys_gray_clay_bar,consumable,Chemical Guys Gray Clay Bar,review,0.517,B001TJALQO,"Chemical Guys WAC_CLY_100_16 Clayblock and Clay Synthetic Lubricant and Detailer, 16 oz",https://www.amazon.ca/dp/B001TJALQO,21.25,1.0,33.05,2023/12/12,eShine Car Care,Chemical Guys,Automotive Parts and Accessories
chemical_guys_hydro_view,consumable,Chemical Guys Hydro View,unmatched,0.492,B00435H0GA,Chemical Guys ACC_204 Curved Tire Brush,https://www.amazon.ca/dp/B00435H0GA,13.79,1.0,15.58,2023/10/06,Amazon.ca,Chemical Guys,Automotive Parts and Accessories
chemical_guys_leather_detailer,consumable,Chemical Guys Leather Detailer,unmatched,0.484,B001TJALQO,"Chemical Guys WAC_CLY_100_16 Clayblock and Clay Synthetic Lubricant and Detailer, 16 oz",https://www.amazon.ca/dp/B001TJALQO,21.25,1.0,33.05,2023/12/12,eShine Car Care,Chemical Guys,Automotive Parts and Accessories
chemical_guys_tire_brush,consumable,Chemical Guys Tire Brush,review,0.673,B00435H0GA,Chemical Guys ACC_204 Curved Tire Brush,https://www.amazon.ca/dp/B00435H0GA,13.79,1.0,15.58,2023/10/06,Amazon.ca,Chemical Guys,Automotive Parts and Accessories
cillanil_bristle_brush,consumable,Cillanil Bristle Brush,unmatched,0.463,B0CC4QT68J,Wheel Rim Brush Soft Bristle Car Wheel Cleaner Brush Tire Detailing Brush Car Washing Brush for Wheels Rims Tips Vehicle Engine Motorcycles,https://www.amazon.ca/dp/B0CC4QT68J,10.45,1.0,10.45,2023/10/06,EnShiZhouJiangTaiKangBaiHuoLingShouYouXianGongSi,Mednkoku,Home
cleaning_swab_kit,consumable,Cleaning Swab Kit,review,0.535,B0BPR47D1T,"AAwipes Cleaning Swab Kit Microfiber Knitted Polyester Swab Sticks (5 Types, Total 100 Packs) Lint Free Swabs for Printer, Gun, Optics Lens, Camera, Arts and Crafts, Automotive Detailing (FA501)",https://www.amazon.ca/dp/B0BPR47D1T,18.99,3.0,64.38,2023/12/22,Alyvia LLC,AAwipes,"Business, Industrial, & Scientific Supplies Basic"
clicic_pump_sprayer,consumable,Clicic Pump Sprayer,review,0.547,B08HQBJCYT,CLICIC Hand Held 0.5 Gallon Garden Pump Sprayer Portable Yard and Lawn Sprayer 70oz Hand Sprayer for Spraying Weeds/Watering/Home Cleaning (2L Yellow),https://www.amazon.ca/dp/B08HQBJCYT,21.99,3.0,74.55,2023/10/31,CLICIC,CLICIC,Lawn & Patio
detailing_brush_set,consumable,Detailing Brush Set,review,0.555,B0BV7GMNDT,"Byttme Professional 4 Pack Long Handle Wheel Brush Kit for Cleaning Wheel and Tire- 2X Soft Wheel Woolies Cleaning Brush, Detailing Brush and Stiff Tire Brush Wheel Brush Set",https://www.amazon.ca/dp/B0BV7GMNDT,22.99,1.0,25.98,2024/05/09,Biquetu Store,BYTTME,Automotive Parts and Accessories
dewenwilsretractable_cord_reel,consumable,DEWENWILSRetractable Cord Reel,unmatched,0.432,B0B5R7W42J,"DEWENWILS Retractable Cord Reel, 60 FT Heavy Duty Extension Cord, 12AWG/3C SJTOW, 3 Grounded Outlets Lighted Triple Tap, 15A Circuit Breaker, Wall/Ceiling Mounted for Garage and Workshop, UL Listed",https://www.amazon.ca/dp/B0B5R7W42J,155.99,1.0,176.27,2023/11/22,Dewenwils,Dewenwils,Home Improvement
diydetail_ceramic_gloss,consumable,DIYDetail Ceramic Gloss,unmatched,0.412,B0C2FX3WB4,"Graphene Ceramic Spray Coating - LAST SO LONG! Quick & Easy for Cars, Motorcycles, Boats & More - Professional-Grade Sealant for Maximum Gloss & Shine - Waterless Wash & Wax - 9oz Bottle",https://www.amazon.ca/dp/B0C2FX3WB4,29.97,1.0,33.87,2025/01/28,Magic AutoCare,Magic Shield,"Business, Industrial, & Scientific Supplies Basic"
dlux_plastic_wheel_coating,consumable,DLux Plastic Wheel Coating,unmatched,0.406,B0BMLB193W,"Eco-friendly Car Wash Soap Sheets - Binbata Concentrated Foaming Car Wash Shampoo and Conditioner for Decontamination & Lubricate & Coating & Brighten Up & Protect Car Paint, No Plastic, 24 Count",https://www.amazon.ca/dp/B0BMLB193W,19.98,1.0,22.58,2024/06/05,Binbata Home Life Shops,Binbata,Health and Beauty
dr_beasleys_mattebodywash,consumable,Dr Beasleys MATTEbodywash,unmatched,0.307,B06Y3T5RV4,Candle Dyes - Wax Dyes for Candle Making - Color Chips for Candle Making - Wax Dye Flakes - Candle Wax Color Chips - Soy Candle Color Dyes,https://www.amazon.ca/dp/B06Y3T5RV4,27.99,1.0,31.63,2023/02/06,HandyHands,Candle Shop,Office Product
drill_brush_set,consumable,Drill Brush Set,review,0.648,B07L37CTFK,Drill Brush - Drill Brush Attachment - Drill Brush Power Scrubber - Drill Brush Set - Nylon Drill Brush - Drill Brush Scrubber - Drill Brush Cleaner -,https://www.amazon.ca/dp/B07L37CTFK,24.95,1.0,28.2,2023/10/06,Drillbrush,Drillbrush,Kitchen
drill_brush_set_green,consumable,Drill Brush Set Green,review,0.605,B07L37CTFK,Drill Brush - Drill Brush Attachment - Drill Brush Power Scrubber - Drill Brush Set - Nylon Drill Brush - Drill Brush Scrubber - Drill Brush Cleaner -,https://www.amazon.ca/dp/B07L37CTFK,24.95,1.0,28.2,2023/10/06,Drillbrush,Drillbrush,Kitchen
dr_ger_xplore_3500_half_face_respirator_mask,consumable,Dräger Xplore 3500 Half Face Respirator Mask,review,0.607,B01GVSYO10,"Dräger X-plore 3500 Half-Face Respirator Mask + 2x P100/Multi-Gas Combination Cartridge (OV/AG/HF/FM/CD/AM/MA/HS/P100), NIOSH-Certified, Reusable Pro",https://www.amazon.ca/dp/B01GVSYO10,74.67,1.0,84.38,2023/01/16,Draeger Safety Canada Ltd.,Drxe4ger,Apparel
estwing_air_hose,consumable,Estwing Air Hose,review,0.532,B01KA41E5K,"Estwing E1450PVCR 1/4"" x 50' PVC/Rubber Hybrid Air Hose with Brass 1/4"" NPT Industrial Fitting and Universal Quick Connect Coupler",https://www.amazon.ca/dp/B01KA41E5K,43.54,1.0,49.2,2023/10/31,Amazon.ca,Estwing,Home Improvement
eveage_under_carriage_washer,consumable,Eveage Under Carriage Washer,unmatched,0.461,B0C7TTYM3B,"EVEAGE 2-in-1 Undercarriage Pressure Washer Attachment, 16"" Pressure Washer Water Broom w/Extension Wands & Wash Mitt, 4000 PSI, Black",https://www.amazon.ca/dp/B0C7TTYM3B,72.99,1.0,82.48,2023/10/06,EVEAGE DIRECT,EVEAGE,Lawn & Patio
fixfans_pressure_washer_adapter_sets_m_22_14_mm,consumable,"FIXFANS Pressure Washer Adapter Sets, M 22 14 mm",review,0.713,B09Y565J7D,"FIXFANS Pressure Washer Adapter Sets, M22 14mm to 1/4'' Quick Connect Fittings kits, Quick Connect Gun to Hose (2 x 2, 2 Pack)",https://www.amazon.ca/dp/B09Y565J7D,22.99,2.0,51.96,2025/02/10,FIXFANS,FIXFANS,Lawn & Patio
foam_cleaning_swabs,consumable,Foam Cleaning Swabs,review,0.596,B0B38Q3MDS,"Foam Sticks Cleaning Swabs - BIHYM Lint-Free Foam Swabs for Inkjet Printer, Camera, Optical Lens, and Electronics(200pcs)",https://www.amazon.ca/dp/B0B38Q3MDS,32.99,1.0,37.28,2023/12/22,HI_MIN,BIHYM,"Business, Industrial, & Scientific Supplies Basic"
framar_powder_free_gloves,consumable,Framar Powder Free Gloves,review,0.604,B07F8DD5MV,"FRAMAR Powder Free Nitrile Gloves -12 INCH Black Disposable Gloves Latex Free, Non Latex Gloves, Hair Dye Gloves, Tattoo Gloves, Mechanics Gloves, Small Nitrile Gloves, Disposable Gloves Small",https://www.amazon.ca/dp/B07F8DD5MV,21.48,4.0,97.1,2023/12/12,FRAMAR,FRAMAR,Health and Beauty
goccidatornador,consumable,GOCCIDATornador,unmatched,0.304,B08P2LD3MK,"Shower Cat - Hair Catcher, Snare, and Drain Protector",https://www.amazon.ca/dp/B08P2LD3MK,34.9,1.0,39.44,2022/12/08,Loltos Product,Shower Cat,Home Improvement
great_cool_wash_mop,consumable,Great Cool Wash Mop,unmatched,0.388,B09H7KC5Q2,"GreatCool 62"" Car Wash Brush Mop Kit With Long Handle, 2 in 1 Chenille Microfiber Sponge Mitt Cleaning Detailing Duster for Washing Cars Truck SUV RV Caravans and Household, Scratch Free(2 x Mop Head)",https://www.amazon.ca/dp/B09H7KC5Q2,22.39,1.0,25.3,2023/11/22,GreatCool,GreatCool,Automotive Parts and Accessories
gtechniq_surface,consumable,GTechniq Surface,unmatched,0.361,B0DBJ8817H,"Swiffer WetJet Spray Mop Multi-Surface Floor Cleaner Pad Refill, 24 Count",https://www.amazon.ca/dp/B0DBJ8817H,16.98,1.0,19.19,2026/02/28,Amazon.ca,Swiffer,Health and Beauty
gyeon_can_coat,consumable,Gyeon Can Coat,unmatched,0.375,B07KBLB984,"NYX Professional Makeup Can't Stop Won't Stop Concealer, Natural, 3,50 mL",https://www.amazon.ca/dp/B07KBLB984,13.96,1.0,15.77,2022/11/25,Amazon,NYX PROFESSIONAL MAKEUP,Beauty
gyeon_car_coating,consumable,Gyeon Car Coating,unmatched,0.411,B0BMLB193W,"Eco-friendly Car Wash Soap Sheets - Binbata Concentrated Foaming Car Wash Shampoo and Conditioner for Decontamination & Lubricate & Coating & Brighten Up & Protect Car Paint, No Plastic, 24 Count",https://www.amazon.ca/dp/B0BMLB193W,19.98,1.0,22.58,2024/06/05,Binbata Home Life Shops,Binbata,Health and Beauty
gyeon_wet_coat,consumable,Gyeon Wet Coat,unmatched,0.352,B08SFW33VG,"Fancy Feast Petites Wet Cat Food, in Gravy Collection Variety Pack 3 Flavours - 79.4 g Tray (24 Pack)",https://www.amazon.ca/dp/B08SFW33VG,24.87,9.0,252.93,2025/01/09,Amazon,PURINA Fancy Feast,Pet Products
hgwater_deionizer,consumable,HGWater Deionizer,unmatched,0.419,B0CB3HN8MR,H&G lifestyles Portable Water Deionizer for Car Washing Spotless Water System Spot-Free Deionized Water for Vehicles Motorcycles Boats Solar Washing,https://www.amazon.ca/dp/B0CB3HN8MR,248.99,1.0,281.36,2023/12/22,Home & Garden lifestyles,H&G lifestyles,MotorCycle
homer_hyme_heavy_duty_sponges,consumable,Homer Hyme Heavy Duty Sponges,unmatched,0.45,B0BVF1LXYY,"HOMERHYME Heavy Duty Sponges, 24 Pack Scrub Sponge, Multipurpose Dish Sponge Double-Side Design, Durable & Long-Lasting with Hign Density Sponge.",https://www.amazon.ca/dp/B0BVF1LXYY,14.99,1.0,16.94,2023/10/31,LULUCATCH,HOMERHYME,Kitchen
homer_hyme_microfiber_cleaning_cloth,consumable,Homer Hyme Microfiber Cleaning Cloth,review,0.516,B0B3HZ33DL,"Microfiber Cleaning Cloths, 6 PCS Soft Material Microfiber Towels for Cars, Absorbent Drying Microfiber Cloth, Car Drying Towel with Dual Side, Microf",https://www.amazon.ca/dp/B0B3HZ33DL,17.84,1.0,20.16,2023/10/11,Waiyloon,Waiyloon,Kitchen
invisible_glass,consumable,Invisible Glass,unmatched,0.5,B07VVT4569,"Invisible Glass 92164-4PK 22-Ounce Premium Glass Cleaner and Window Spray for Auto and Home Streak-Free Shine on Windows, Windshields, and Mirrors is Residue and Ammonia Free and Tint Safe, Pack of 4",https://www.amazon.ca/dp/B07VVT4569,27.99,1.0,31.63,2023/12/12,Amazon.ca,Invisible Glass,Automotive Parts and Accessories
invisible_glass_glass_coating,consumable,Invisible Glass Glass Coating,unmatched,0.423,B07VVT4569,"Invisible Glass 92164-4PK 22-Ounce Premium Glass Cleaner and Window Spray for Auto and Home Streak-Free Shine on Windows, Windshields, and Mirrors is Residue and Ammonia Free and Tint Safe, Pack of 4",https://www.amazon.ca/dp/B07VVT4569,27.99,1.0,31.63,2023/12/12,Amazon.ca,Invisible Glass,Automotive Parts and Accessories
iso_alcohol,consumable,iso Alcohol,unmatched,0.458,B0BN4WJXY8,99% Isopropyl Alcohol - Made in Canada - 1L USP Grade Isopropyl Rubbing Alcohol - Isopropyl Alcohol 99 Percent - Bottle 99.9% Alcohol for Electronics,https://www.amazon.ca/dp/B0BN4WJXY8,23.99,1.0,27.11,2023/09/28,DGE Essentials CA,RAPID PROTECTANT,"Business, Industrial, & Scientific Supplies Basic"
lanon_heavy_duty_gloves,consumable,Lanon Heavy Duty Gloves,review,0.543,B09HZHS94B,"LANON 8mil Orange Disposable Nitrile Gloves, Mechanic, Heavy Duty, Food Safe, Latex Free, Powder Free, Fully-Diamond Textured, XL",https://www.amazon.ca/dp/B09HZHS94B,23.99,1.0,27.11,2023/11/27,LANON Protection LLC,LANON Protection,Home Improvement
lysol_wipes,consumable,Lysol Wipes,review,0.506,B09XJC428L,"Lysol Disinfecting Wipes, Spring Waterfall, Thick Strong Wipe, Kills 99.99% of Viruses & Bacteria, Bulk Pack of 6, 450 count (6 x 75 count)",https://www.amazon.ca/dp/B09XJC428L,34.47,2.0,77.9,2024/10/27,Amazon,LYSOL,Health and Beauty
makita_mac_700,consumable,Makita Mac 700,unmatched,0.423,B0001Q2VK0,Makita Mac700 2.0 Hp Big Bore Air Compressor,https://www.amazon.ca/dp/B0001Q2VK0,369.0,1.0,416.97,2023/10/06,Equipement Polar,Makita,Home Improvement
meguiar_s_g_180515_bug_and_tar_remover_15_ounces,consumable,"Meguiar's G 180515 Bug & Tar Remover, 15 Ounces",strong,0.924,B06Y1T9PLH,"Meguiar's G180515 Bug & Tar Remover, 15 Ounces",https://www.amazon.ca/dp/B06Y1T9PLH,27.95,1.0,31.58,2024/05/09,HITCHWEB CANADA,Meguiar's,Automotive Parts and Accessories
meguiar_s_heavy_duty_bug_and_tar_remover,consumable,Meguiar's Heavy Duty Bug & Tar Remover,review,0.697,B06Y1T9PLH,"Meguiar's G180515 Bug & Tar Remover, 15 Ounces",https://www.amazon.ca/dp/B06Y1T9PLH,27.95,1.0,31.58,2024/05/09,HITCHWEB CANADA,Meguiar's,Automotive Parts and Accessories
meguiar_s_leather_cleaner_and_conditioner_spray_gold_class_3_in_1_with_protection_g_10916_c,consumable,Meguiar's Leather Cleaner & Conditioner Spray Gold Class 3 in 1 with Protection G 10916 C,strong,0.936,B00F653LE6,Meguiar's Leather Cleaner & Conditioner Spray - Gold Class - 3 in 1 with Protection - G10916C,https://www.amazon.ca/dp/B00F653LE6,12.7,1.0,14.35,2024/06/04,Amazon.ca,Meguiar's,Automotive Parts and Accessories
meguiar_s_ultimate_quik_wax_709_m_l_durable_protection_quick_and_easy_g_200924_c,consumable,"Meguiar's Ultimate Quik Wax, 709 m L Durable Protection, Quick & Easy G 200924 C",strong,0.917,B08H5X1J1C,"Meguiar's Ultimate Quik Wax, 709mL - Durable Protection, Quick & Easy - G200924C",https://www.amazon.ca/dp/B08H5X1J1C,16.97,1.0,19.18,2025/02/10,Amazon,Meguiar's,Automotive Parts and Accessories
microfiber_cleaning_cloths,consumable,Microfiber Cleaning Cloths,review,0.617,B0B3HZ33DL,"Microfiber Cleaning Cloths, 6 PCS Soft Material Microfiber Towels for Cars, Absorbent Drying Microfiber Cloth, Car Drying Towel with Dual Side, Microf",https://www.amazon.ca/dp/B0B3HZ33DL,17.84,1.0,20.16,2023/10/11,Waiyloon,Waiyloon,Kitchen
mini_pet_detailer,consumable,Mini Pet Detailer,review,0.698,B0764MC2ZH,Mini Pet Hair Detailer,https://www.amazon.ca/dp/B0764MC2ZH,18.0,2.0,40.68,2023/10/06,"Lilly Brush Co., LLC",Lilly Brush,Pet Products
mountain_peak_air_purifier,consumable,Mountain Peak Air Purifier,review,0.595,B07VD8J5G6,"Mountain Peak- Ultimate Commercial Air Purifier Odor Eliminator Removes 99.96% Smoke and Pet Dander, Dust, Odor",https://www.amazon.ca/dp/B07VD8J5G6,159.0,1.0,179.67,2023/12/12,Dark Horse Industrial,Mountain Peak,Kitchen
mr_siga_squeegee,consumable,Mr Siga Squeegee,review,0.535,B01C6KUNZI,"MR. SIGA Window Cleaning Combo - Squeegee & Microfiber Window Washer, Size: 35cm",https://www.amazon.ca/dp/B01C6KUNZI,22.98,1.0,25.97,2023/11/22,Mr SIGA CANADA,MR.SIGA,Kitchen
no_9_wraptors,consumable,No 9 Wraptors,unmatched,0.318,B0013R67A6,"Hoppe's No. 9 Lubricating Oil, 14.9 ml Precision Bottle",https://www.amazon.ca/dp/B0013R67A6,19.99,1.0,22.59,2022/08/22,Kaizen8,HOPPE'S,Sports
pioneer_cover_alls_4_xl,consumable,Pioneer Cover Alls 4 XL,unmatched,0.395,B0757QCL9G,"Pioneer V7015550-4XL Microporous Disposable Coverall, Chemical Protective, Breathable and Comfortable White, 4XL",https://www.amazon.ca/dp/B0757QCL9G,8.46,20.0,191.2,2023/11/22,Amazon,Pioneer,"Business, Industrial, & Scientific Supplies Basic"
power_drill_scrubber_set,consumable,Power Drill Scrubber Set,review,0.611,B07L37CTFK,Drill Brush - Drill Brush Attachment - Drill Brush Power Scrubber - Drill Brush Set - Nylon Drill Brush - Drill Brush Scrubber - Drill Brush Cleaner -,https://www.amazon.ca/dp/B07L37CTFK,24.95,1.0,28.2,2023/10/06,Drillbrush,Drillbrush,Kitchen
pro_vinyl_wrap_kit,consumable,Pro Vinyl Wrap Kit,review,0.569,B08BRV8PF4,"Pro Vinyl Wraps Applicator Tool Kit Window Tint Film Car Wrapping Tools Includes Felt Squeegees, Plastic Scraper, Wrap Knife and Blades, Magnetic Hold",https://www.amazon.ca/dp/B08BRV8PF4,38.99,1.0,44.06,2023/10/06,NEWISHTOOL,NEWISHTOOL,Automotive Parts and Accessories
ps_absolute_rinseless,consumable,PS Absolute Rinseless,review,0.533,B0BBXN86Z4,"P&S Professional Detail Products - Absolute Rinseless Wash - Premium Soap Alternative; Unique Polymers Encapsulate and Emulsify Dirt; Softens Water; Safe on Paint, Coatings, Wraps, PPF (1 Gallon)",https://www.amazon.ca/dp/B0BBXN86Z4,64.0,1.0,72.32,2023/12/12,The Rag Company,P & S PROFESSIONAL DETAIL PRODUCTS,Health and Beauty
ps_bead_maker,consumable,PS Bead Maker,unmatched,0.49,B0779LMP2C,"P&S Professional Detail Products - Bead Maker - Paint Protectant & Sealant, Easy Spray & Wipe Application, Cured Protection, Long Lasting Gloss Enhancement, Hydrophobic Finish (1 Gallon)",https://www.amazon.ca/dp/B0779LMP2C,54.0,1.0,61.02,2023/12/12,The Rag Company,P & S PROFESSIONAL DETAIL PRODUCTS,Home Improvement
